0 7 8 9 10 11 12 13
20 0.121631 0.128943 0.137104 0.148034 0.162453 0 0.196825
30 0.074667 0.077191 0.079844 0.082734 0.080734 0.090253 0.090756
40 0.054071 0.055291 0.056607 0.057992 0.057114 0.061468 0.062198
50 0.042323 0.0431 0.043891 0.044657 0.044475 0.046725 0.046928
60 0.034868 0.035292 0.035937 0.036378 0.036321 0.037613 0.037886
70 0.02973 0.030024 0.03036 0.030705 0.030649 0.03161 0.031799
80 0.025976 0.026048 0.026303 0.026612 0.026607 0.027246 0.027458
90 0.022946 0.023054 0.023252 0.023445 0.023496 0.02392 0.024168
100 0.020529 0.020673 0.020821 0.020976 0.021042 0.021371 0.021536
110 0.016432 0.016575 0.016712 0.016816 0.019041 0.017138 0.017255
120 0 0.015125 0.015202 0.015322 0.017365 0.01557 0.015737
130 0 0.013942 0.014003 0.014131 0.01598 0.014314 0.014396
140 0 0.012896 0.01297 0.013068 0.01478 0.013208 0.013297
150 0 0 0.012078 0.01212 0.013774 0.012314 0.012367
160 0 0 0.011278 0.011369 0.01286 0.011478 0.011584
170 0 0 0.010573 0.010628 0.01207 0.010787 0.010855
180 0 0 0.01001 0.010055 0.011405 0.010162 0.010149
190 0 0 0.009448 0.009516 0.01084 0.009596 0.009639
200 0 0 0.008976 0.009001 0.010245 0.009115 0.0091
